chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue
chr2L	28001	28500	chr2L	28001	28500	56	56	0.2822526054	0.0003803904	0.0004341189
chr2L	35001	35500	chr2L	35001	35500	70	70	0.3159711090	0.0000615114	0.0000729918
chr2L	66501	67000	chr2L	66501	67000	133	133	0.1877165212	0.0199845183	0.0212298444
chr2L	94501	95000	chr2L	94501	95000	189	189	0.4001797584	0.0000002089	0.0000002859
chr2L	102001	102500	chr2L	102001	102500	204	204	0.4844786142	0.0000000001	0.0000000002
chr2L	116501	117000	chr2L	116501	117000	233	233	0.4920260749	0.0000000000	0.0000000001
chr2L	142501	143000	chr2L	142501	143000	285	285	0.0161118621	0.8435565629	0.8473801519
chr2L	155501	156000	chr2L	155501	156000	311	311	0.6340465674	0.0000000000	0.0000000000
chr2L	159001	159500	chr2L	159001	159500	318	318	0.6498950654	0.0000000000	0.0000000000
chr2L	182501	183000	chr2L	182501	183000	365	365	0.5320720287	0.0000000000	0.0000000000
chr2L	203001	203500	chr2L	203001	203500	406	406	0.3837746053	0.0000007277	0.0000009615
chr2L	207501	208000	chr2L	207501	208000	415	415	0.4730555385	0.0000000003	0.0000000005
chr2L	224001	224500	chr2L	224001	224500	448	448	0.5586462022	0.0000000000	0.0000000000
chr2L	250501	251000	chr2L	250501	251000	501	501	0.6325285916	0.0000000000	0.0000000000
chr2L	271501	272000	chr2L	271501	272000	543	543	0.6818156451	0.0000000000	0.0000000000
chr2L	277501	278000	chr2L	277501	278000	555	555	0.7372729445	0.0000000000	0.0000000000
chr2L	282001	282500	chr2L	282001	282500	564	564	0.4635846170	0.0000000008	0.0000000013
chr2L	295001	295500	chr2L	295001	295500	590	590	0.6704120501	0.0000000000	0.0000000000
chr2L	296501	297000	chr2L	296501	297000	593	593	0.2948507888	0.0001979328	0.0002289782
chr2L	297001	297500	chr2L	297001	297500	594	594	0.3371142287	0.0000173273	0.0000211268
chr2L	339001	339500	chr2L	339001	339500	678	678	-0.0145654203	0.8584073928	0.8619262149
chr2L	403501	404000	chr2L	403501	404000	807	807	0.2896298041	0.0002604844	0.0002994799
chr2L	414501	415000	chr2L	414501	415000	829	829	0.5965809812	0.0000000000	0.0000000000
chr2L	421001	421500	chr2L	421001	421500	842	842	0.5136510060	0.0000000000	0.0000000000
chr2L	431001	431500	chr2L	431001	431500	862	862	0.4094922442	0.0000000995	0.0000001394
chr2L	471001	471500	chr2L	471001	471500	942	942	0.3839686995	0.0000007173	0.0000009484
chr2L	472001	472500	chr2L	472001	472500	944	944	0.4989648211	0.0000000000	0.0000000000
chr2L	490501	491000	chr2L	490501	491000	981	981	0.6236261933	0.0000000000	0.0000000000
chr2L	518001	518500	chr2L	518001	518500	1036	1036	0.4294034847	0.0000000187	0.0000000274
chr2L	523501	524000	chr2L	523501	524000	1047	1047	0.3514590681	0.0000069201	0.0000085838
chr2L	540501	541000	chr2L	540501	541000	1081	1081	0.6956222785	0.0000000000	0.0000000000
chr2L	564001	564500	chr2L	564001	564500	1128	1128	0.6708825074	0.0000000000	0.0000000000
chr2L	568001	568500	chr2L	568001	568500	1136	1136	0.5056966055	0.0000000000	0.0000000000
chr2L	574501	575000	chr2L	574501	575000	1149	1149	0.5424976863	0.0000000000	0.0000000000
chr2L	587501	588000	chr2L	587501	588000	1175	1175	0.3396176596	0.0000148140	0.0000181242
chr2L	602501	603000	chr2L	602501	603000	1205	1205	0.8165478703	0.0000000000	0.0000000000
chr2L	715501	716000	chr2L	715501	716000	1431	1431	0.3662290726	0.0000025540	0.0000032566
chr2L	740001	740500	chr2L	740001	740500	1480	1480	0.4603687707	0.0000000011	0.0000000017
chr2L	768001	768500	chr2L	768001	768500	1536	1536	0.2242013290	0.0060254711	0.0065260746
chr2L	800501	801000	chr2L	800501	801000	1601	1601	0.2353891986	0.0033033049	0.0036190163
chr2L	821001	821500	chr2L	821001	821500	1642	1642	0.5043053420	0.0000000000	0.0000000000
chr2L	826001	826500	chr2L	826001	826500	1652	1652	0.7069396278	0.0000000000	0.0000000000
