chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue	resolution
chr2L	10006000	10008000	chr2L	10200000	10202000	5003	5100	0.2044179102	0.0004541821	0.0007852383	2000
chr2L	10013000	10014000	chr2L	10194000	10195000	10013	10194	0.236859708	4.44202e-05	9.26503e-05	1000
chr2L	10029000	10030000	chr2L	10166000	10167000	10029	10166	0.1255627231	0.0735176481	0.098483387	1000
chr2L	10035000	10036000	chr2L	10146000	10147000	10035	10146	-0.0367214052	0.5875230386	0.6487966489	1000
chr2L	10056500	10056750	chr2L	10180500	10180750	10056	10180	0.1959952846	0.0007850032	0.0014077894	1000
chr2L	10058000	10059000	chr2L	10200000	10201000	10058	10200	0.1345023193	0.022107943	0.0321874196	1000
chr2L	10079000	10080000	chr2L	10197000	10198000	10079	10197	0.1119390172	0.057298419	0.0779836415	1000
chr2L	10221000	10221250	chr2L	10226750	10227000	10221	10226	0.3065253852	2.6335e-06	6.1542e-06	1000
chr2L	10221000	10221250	chr2L	10232000	10232250	10221	10232	-0.0799362112	0.1872594867	0.2319192745	1000
chr2L	102250	102500	chr2L	114500	114750	102	114	0.4375309765	0.0	0.0	1000
chr2L	10227000	10227250	chr2L	10239000	10239250	10227	10239	0.0039778916	0.9473093192	0.9719033488	1000
chr2L	10232000	10232250	chr2L	10238750	10239000	10232	10238	0.4346319138	0.0	0.0	1000
chr2L	10238000	10239000	chr2L	10387000	10388000	5119	5193	-0.1129991139	0.0549609277	0.0717572466	2000
chr2L	10239750	10240000	chr2L	10246250	10246500	10239	10246	0.2226252967	0.0004398681	0.0008125444	1000
chr2L	10264000	10265000	chr2L	10366000	10367000	10264	10366	0.1623294393	0.0056100777	0.0088742688	1000
chr2L	10313000	10314000	chr2L	10364000	10365000	10313	10364	0.2157708261	0.0002094961	0.0004024435	1000
chr2L	10368250	10368500	chr2L	10373750	10374000	10368	10373	0.5119893799	0.0	0.0	1000
chr2L	10380000	10380250	chr2L	10386000	10386250	10380	10386	0.5378630923	0.0	0.0	1000
chr2L	10407750	10408000	chr2L	10423000	10423250	10407	10423	0.3072700296	7.88e-08	2.166e-07	1000
chr2L	10616750	10617000	chr2L	10654750	10655000	10616	10654	0.3251860276	1.15e-08	3.44e-08	1000
chr2L	1066250	1066500	chr2L	1077250	1077500	1066	1077	0.5080312031	0.0	0.0	1000
chr2L	1068250	1068500	chr2L	1076750	1077000	1068	1076	0.6084450972	0.0	0.0	1000
chr2L	10721000	10722000	chr2L	10964000	10965000	5360	5482	0.4609723258	0.0	0.0	2000
chr2L	10744000	10744250	chr2L	10767750	10768000	10744	10767	0.4323338395	0.0	0.0	1000
chr2L	10744250	10744500	chr2L	10770000	10770250	10744	10770	0.370565453	0.0	2e-10	1000
chr2L	10770000	10772000	chr2L	11024000	11026000	5385	5512	0.2800237044	1.1412e-06	2.704e-06	2000
chr2L	10844000	10844250	chr2L	10849250	10849500	10844	10849	0.481707062	0.0	0.0	1000
chr2L	10870000	10871000	chr2L	10941000	10942000	10870	10941	0.203138697	0.0021951678	0.0036594578	1000
chr2L	10970250	10970500	chr2L	10976500	10976750	10970	10976	0.5253985924	0.0	0.0	1000
chr2L	11004500	11004750	chr2L	11010500	11010750	11004	11010	0.3561465663	1.51e-08	4.42e-08	1000
chr2L	11074000	11076000	chr2L	11454000	11456000	2768	2863	0.2174990927	0.0001855281	0.0003643068	4000
chr2L	11100500	11100750	chr2L	11106500	11106750	11100	11106	-0.0655003705	0.318790328	0.3778698425	1000
chr2L	11124000	11124250	chr2L	11130250	11130500	11124	11130	0.3272649043	2.418e-07	6.371e-07	1000
chr2L	11206750	11207000	chr2L	11221500	11221750	11206	11221	0.3854793717	1e-10	4e-10	1000
chr2L	11210250	11210500	chr2L	11221500	11221750	11210	11221	0.634136991	0.0	0.0	1000
chr2L	11345000	11346000	chr2L	11449000	11450000	11345	11449	0.1582952257	0.0069398453	0.0108077956	1000
chr2L	11358750	11359000	chr2L	11445750	11446000	11358	11445	0.413648988	0.0	0.0	1000
chr2L	11358750	11359000	chr2L	11447750	11448000	11358	11447	0.4874419701	0.0	0.0	1000
chr2L	11518000	11520000	chr2L	11948000	11950000	5759	5974	0.1306813742	0.0262337609	0.0359475621	2000
chr2L	11530000	11531000	chr2L	11711000	11712000	11530	11711	-0.0540341782	0.4631499838	0.5256158534	1000
chr2L	11554000	11556000	chr2L	11910000	11912000	5777	5955	0.3253638201	5.186e-07	1.2668e-06	2000
chr2L	1170250	1170500	chr2L	1177250	1177500	1170	1177	0.1305129433	0.0415770692	0.0580139055	1000
chr2L	11952000	11954000	chr2L	12178000	12180000	2988	3044	0.2205877356	0.0001489494	0.0002964255	4000
chr2L	12004000	12004250	chr2L	12010250	12010500	12004	12010	0.5880583095	0.0	0.0	1000
chr2L	1201000	1202000	chr2L	1344000	1345000	1201	1344	0.0280789766	0.6347987777	0.6957066055	1000
chr2L	12021000	12021250	chr2L	12049000	12049250	12021	12049	0.295258595	2.654e-07	6.968e-07	1000
chr2L	12024000	12024250	chr2L	12034000	12034250	12024	12034	0.3253201726	3.9e-08	1.103e-07	1000
chr2L	12040500	12040750	chr2L	12056000	12056250	12040	12056	0.224559886	0.000111778	0.0002196845	1000
chr2L	12056750	12057000	chr2L	12062750	12063000	12056	12062	0.3235097449	6.7305e-06	1.52244e-05	1000
chr2L	12081000	12081250	chr2L	12089500	12089750	12081	12089	0.5718530861	0.0	0.0	1000
chr2L	12081250	12081500	chr2L	12092000	12092250	12081	12092	0.5351629384	0.0	0.0	1000
chr2L	12081500	12081750	chr2L	12087750	12088000	12081	12087	0.393309223	1.2e-09	4e-09	1000
chr2L	12108000	12109000	chr2L	12173000	12174000	12108	12173	0.1813675894	0.0019253306	0.0032574591	1000
chr2L	12461250	12461500	chr2L	12482750	12483000	12461	12482	0.3122428789	4.68e-08	1.313e-07	1000
chr2L	12473000	12473250	chr2L	12482250	12482500	12473	12482	0.3018612195	5.601e-07	1.4186e-06	1000
chr2L	12520750	12521000	chr2L	12529750	12530000	12520	12529	0.1486777106	0.0161304159	0.0239896575	1000
chr2L	12587000	12588000	chr2L	12677000	12678000	12587	12677	0.3574502635	3e-10	9e-10	1000
chr2L	12594000	12594250	chr2L	12602750	12603000	12594	12602	0.4925570496	0.0	0.0	1000
chr2L	12594000	12594250	chr2L	12660500	12660750	12594	12660	0.0114322469	0.8466885808	0.8809223457	1000
chr2L	12618250	12618500	chr2L	12678250	12678500	12618	12678	0.4232781897	0.0	0.0	1000
chr2L	12693000	12693250	chr2L	12704250	12704500	12693	12704	0.4662739946	0.0	0.0	1000
chr2L	12712500	12712750	chr2L	12722000	12722250	12712	12722	0.0762771999	0.2134556008	0.2617048446	1000
chr2L	12724000	12726000	chr2L	13002000	13004000	6362	6501	0.2283550547	0.0002241815	0.0004036726	2000
chr2L	12773000	12774000	chr2L	12950000	12951000	12773	12950	0.0576386035	0.3291443345	0.3884780866	1000
chr2L	12776000	12778000	chr2L	13138000	13140000	6388	6569	0.1164292539	0.0633570909	0.0817546602	2000
chr2L	12822750	12823000	chr2L	12854500	12854750	12822	12854	0.5560268221	0.0	0.0	1000
chr2L	13004000	13004250	chr2L	13019000	13019250	13004	13019	0.4425118818	0.0	0.0	1000
chr2L	13021000	13022000	chr2L	13164000	13165000	6510	6582	0.120874774	0.0399542351	0.0531362514	2000
chr2L	13165500	13165750	chr2L	13176500	13176750	13165	13176	0.4309322796	0.0	0.0	1000
chr2L	13179000	13179250	chr2L	13192000	13192250	13179	13192	0.3284090511	1.15e-08	3.44e-08	1000
chr2L	13192000	13192250	chr2L	13203250	13203500	13192	13203	0.3539856837	1.1e-09	3.8e-09	1000
chr2L	13341250	13341500	chr2L	13363000	13363250	13341	13363	0.3841090319	0.0	0.0	1000
chr2L	13426000	13428000	chr2L	13756000	13758000	6713	6878	0.0205455456	0.7282115079	0.7692277169	2000
chr2L	13549000	13550000	chr2L	13640000	13641000	6774	6820	0.1569463949	0.0234600456	0.0324279081	2000
chr2L	13842000	13843000	chr2L	13911000	13912000	13842	13911	0.2578510824	8.1446e-06	1.82428e-05	1000
chr2L	14001000	14002000	chr2L	14180000	14181000	14001	14180	0.1829016631	0.0017579143	0.0029948148	1000
chr2L	14039000	14040000	chr2L	14093000	14094000	14039	14093	0.2273536607	9.10508e-05	0.0001816911	1000
chr2L	1409250	1409500	chr2L	1420750	1421000	1409	1420	0.5419953727	0.0	0.0	1000
chr2L	14094000	14095000	chr2L	14160000	14161000	14094	14160	0.1798182558	0.0021090511	0.0035331795	1000
chr2L	1411000	1412000	chr2L	1518000	1519000	705	759	0.4402478792	0.0	0.0	2000
chr2L	1411250	1411500	chr2L	1422000	1422250	1411	1422	0.4632729815	0.0	0.0	1000
chr2L	14196000	14197000	chr2L	14251000	14252000	14196	14251	0.3002738941	1.61e-07	4.323e-07	1000
chr2L	1420500	1420750	chr2L	1461500	1461750	1420	1461	0.498199642	0.0	0.0	1000
chr2L	14262750	14263000	chr2L	14287750	14288000	14262	14287	0.5112034177	0.0	0.0	1000
chr2L	14293750	14294000	chr2L	14308500	14308750	14293	14308	0.5479653834	0.0	0.0	1000
chr2L	14294000	14294250	chr2L	14300750	14301000	14294	14300	0.1459954675	0.0254233195	0.0367004606	1000
chr2L	14300500	14300750	chr2L	14308500	14308750	14300	14308	0.0975066254	0.1219526959	0.1570904052	1000
chr2L	14436000	14436250	chr2L	14486000	14486250	14436	14486	0.274352001	1.9199e-06	4.5734e-06	1000
chr2L	14436000	14436250	chr2L	14489000	14489250	14436	14489	0.309109297	6.51e-08	1.807e-07	1000
chr2L	14444000	14444250	chr2L	14486000	14486250	14444	14486	0.3901571959	0.0	0.0	1000
chr2L	14444500	14444750	chr2L	14489250	14489500	14444	14489	0.2735183713	2.0703e-06	4.9211e-06	1000
chr2L	14445750	14446000	chr2L	14486250	14486500	14445	14486	0.4439725799	0.0	0.0	1000
chr2L	14518000	14519000	chr2L	14599000	14600000	14518	14599	0.3742909459	0.0	1e-10	1000
chr2L	14518500	14518750	chr2L	14530750	14531000	14518	14530	0.4397636273	0.0	0.0	1000
chr2L	14589000	14590000	chr2L	14706000	14707000	14589	14706	0.2844272452	7.556e-07	1.8831e-06	1000
chr2L	14618000	14619000	chr2L	14819000	14820000	7309	7409	0.0018917768	0.9760422811	1.0	2000
chr2L	14623000	14624000	chr2L	14690000	14691000	14623	14690	0.294503539	2.859e-07	7.48e-07	1000
chr2L	14710000	14712000	chr2L	14968000	14970000	7355	7484	0.0954890931	0.1052747452	0.131104677	2000
chr2L	14746000	14748000	chr2L	14960000	14962000	14746	14960	0.019809757	0.7698846169	0.8151936159	1000
chr2L	15042250	15042500	chr2L	15057250	15057500	15042	15057	0.5545302551	0.0	0.0	1000
chr2L	15044250	15044500	chr2L	15056250	15056500	15044	15056	0.4874911649	0.0	0.0	1000
chr2L	15060000	15062000	chr2L	15498000	15500000	3765	3874	0.2049307427	0.0004389771	0.0008239664	4000
chr2L	1518500	1518750	chr2L	1525000	1525250	1518	1525	0.4453196118	0.0	0.0	1000
chr2L	15219000	15220000	chr2L	15411000	15412000	7609	7705	-0.0178950771	0.7621447729	0.7985920371	2000
chr2L	15319000	15320000	chr2L	15485000	15486000	7659	7742	0.1070595108	0.0691396871	0.0888021634	2000
chr2L	15320250	15320500	chr2L	15333250	15333500	15320	15333	0.0260778536	0.662499452	0.7200939348	1000
chr2L	15333000	15334000	chr2L	15479000	15480000	15333	15479	0.1183922942	0.0442589979	0.0614461496	1000
chr2L	1540000	1542000	chr2L	1790000	1792000	770	895	0.1843840711	0.0030677122	0.0047808783	2000
