chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue	resolution
chr2L	10006000	10008000	chr2L	10200000	10202000	10006	10200	0.1559836465	0.0078225367	0.0134666328	1000
chr2L	10013000	10014000	chr2L	10194000	10195000	10013	10194	0.1139622136	0.0529062976	0.0789491818	1000
chr2L	10029000	10030000	chr2L	10166000	10167000	10029	10166	0.1994647876	0.0041526534	0.0074471815	1000
chr2L	10035000	10036000	chr2L	10146000	10147000	10035	10146	-0.0099909672	0.8827217752	0.9244975336	1000
chr2L	10056500	10056750	chr2L	10180500	10180750	10056	10180	0.1272586177	0.0304742893	0.0474258807	1000
chr2L	10058000	10059000	chr2L	10200000	10201000	10058	10200	0.1872357922	0.001354171	0.0025723437	1000
chr2L	10079000	10080000	chr2L	10197000	10198000	10079	10197	0.0864000603	0.1429728152	0.1965210187	1000
chr2L	10221000	10221250	chr2L	10226750	10227000	10221	10226	0.1941563949	0.0035360586	0.0063827877	1000
chr2L	10221000	10221250	chr2L	10232000	10232250	10221	10232	-0.0104416335	0.8635183248	0.9073912881	1000
chr2L	102250	102500	chr2L	114500	114750	102	114	0.4861819759	0.0	0.0	1000
chr2L	10227000	10227250	chr2L	10239000	10239250	10227	10239	0.1934166712	0.0011368304	0.0021706693	1000
chr2L	10232000	10232250	chr2L	10238750	10239000	10232	10238	0.4721821511	0.0	0.0	1000
chr2L	10238000	10239000	chr2L	10387000	10388000	10238	10387	-0.0043873039	0.9408540166	0.9728316216	1000
chr2L	10239750	10240000	chr2L	10246250	10246500	10239	10246	0.1908853217	0.0026985826	0.0049233003	1000
chr2L	10264000	10265000	chr2L	10366000	10367000	10264	10366	0.1272633572	0.0304680354	0.0474258807	1000
chr2L	10313000	10314000	chr2L	10364000	10365000	10313	10364	0.2359137962	4.77749e-05	0.0001064711	1000
chr2L	10368250	10368500	chr2L	10373750	10374000	10368	10373	0.4700184122	0.0	0.0	1000
chr2L	10380000	10380250	chr2L	10386000	10386250	10380	10386	0.4933117317	0.0	0.0	1000
chr2L	10407750	10408000	chr2L	10423000	10423250	10407	10423	0.0433700875	0.4630004718	0.5444314793	1000
chr2L	10616750	10617000	chr2L	10654750	10655000	10616	10654	0.1585801561	0.006837437	0.0119049945	1000
chr2L	1066250	1066500	chr2L	1077250	1077500	1066	1077	0.2899114894	8.95e-07	2.392e-06	1000
chr2L	1068250	1068500	chr2L	1076750	1077000	1068	1076	0.4900862435	0.0	0.0	1000
chr2L	10721000	10722000	chr2L	10964000	10965000	5360	5482	0.5335101179	0.0	0.0	2000
chr2L	10744000	10744250	chr2L	10767750	10768000	10744	10767	0.6010737831	0.0	0.0	1000
chr2L	10744250	10744500	chr2L	10770000	10770250	10744	10770	0.4567895323	0.0	0.0	1000
chr2L	10770000	10772000	chr2L	11024000	11026000	5385	5512	0.1347729111	0.0218382881	0.0317261258	2000
