chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue	resolution
chr2L	10006000	10008000	chr2L	10200000	10202000	5003	5100	0.2638725575	4.8629e-06	9.7478e-06	2000
chr2L	10013000	10014000	chr2L	10194000	10195000	10013	10194	0.1595876685	0.00648605	0.0094680928	1000
chr2L	10029000	10030000	chr2L	10166000	10167000	10029	10166	0.1593792143	0.0226658856	0.0311937841	1000
chr2L	10035000	10036000	chr2L	10146000	10147000	10035	10146	-0.0044541718	0.9475645288	0.9681257166	1000
chr2L	10056500	10056750	chr2L	10180500	10180750	10056	10180	0.2192738215	0.000163598	0.0002903307	1000
chr2L	10058000	10059000	chr2L	10200000	10201000	10058	10200	0.2001706862	0.0006001966	0.000994188	1000
chr2L	10079000	10080000	chr2L	10197000	10198000	10079	10197	0.0745893542	0.2063134486	0.2489485615	1000
chr2L	10221000	10221250	chr2L	10226750	10227000	10221	10226	0.2024458338	0.0023282099	0.003595484	1000
chr2L	10221000	10221250	chr2L	10232000	10232250	10221	10232	-0.066197386	0.2751222048	0.3241988494	1000
chr2L	102250	102500	chr2L	114500	114750	102	114	0.5195108974	0.0	0.0	1000
chr2L	10227000	10227250	chr2L	10239000	10239250	10227	10239	0.1283656522	0.0320007798	0.0432871184	1000
chr2L	10232000	10232250	chr2L	10238750	10239000	10232	10238	0.4646071803	0.0	0.0	1000
chr2L	10238000	10239000	chr2L	10387000	10388000	5119	5193	0.0774709489	0.1892560209	0.2198548946	2000
chr2L	10239750	10240000	chr2L	10246250	10246500	10239	10246	0.1845471644	0.0037537334	0.0056395193	1000
chr2L	10264000	10265000	chr2L	10366000	10367000	5132	5183	0.0876224561	0.1373743414	0.161707137	2000
chr2L	10313000	10314000	chr2L	10364000	10365000	10313	10364	0.3206583579	1.9e-08	5.17e-08	1000
chr2L	10368250	10368500	chr2L	10373750	10374000	10368	10373	0.4763596946	0.0	0.0	1000
chr2L	10380000	10380250	chr2L	10386000	10386250	10380	10386	0.4676877165	0.0	0.0	1000
chr2L	10407750	10408000	chr2L	10423000	10423250	10407	10423	0.1943083142	0.0008735564	0.0014214561	1000
chr2L	10616750	10617000	chr2L	10654750	10655000	10616	10654	0.2469330039	2.00672e-05	3.91956e-05	1000
chr2L	1066250	1066500	chr2L	1077250	1077500	1066	1077	0.4483030419	0.0	0.0	1000
chr2L	1068250	1068500	chr2L	1076750	1077000	1068	1076	0.600518887	0.0	0.0	1000
chr2L	10721000	10722000	chr2L	10964000	10965000	5360	5482	0.4129072551	0.0	1e-10	2000
chr2L	10744000	10744250	chr2L	10767750	10768000	10744	10767	0.5067242238	0.0	0.0	1000
chr2L	10744250	10744500	chr2L	10770000	10770250	10744	10770	0.5058861862	0.0	0.0	1000
chr2L	10770000	10772000	chr2L	11024000	11026000	2692	2756	0.1361552646	0.0205046282	0.0286108084	4000
chr2L	10844000	10844250	chr2L	10849250	10849500	10844	10849	0.4501990431	0.0	0.0	1000
chr2L	10870000	10871000	chr2L	10941000	10942000	10870	10941	0.3009899375	3.8836e-06	8.2243e-06	1000
chr2L	10970250	10970500	chr2L	10976500	10976750	10970	10976	0.5392820484	0.0	0.0	1000
chr2L	11004500	11004750	chr2L	11010500	11010750	11004	11010	0.4326207757	0.0	0.0	1000
chr2L	11074000	11076000	chr2L	11454000	11456000	2768	2863	0.3470648881	9e-10	3.3e-09	4000
chr2L	11100500	11100750	chr2L	11106500	11106750	11100	11106	0.0396316321	0.5467320229	0.604656655	1000
chr2L	11124000	11124250	chr2L	11130250	11130500	11124	11130	0.3684681866	4.2e-09	1.21e-08	1000
chr2L	11206750	11207000	chr2L	11221500	11221750	11206	11221	0.3381722713	2.44e-08	6.59e-08	1000
chr2L	11210250	11210500	chr2L	11221500	11221750	11210	11221	0.5411891872	0.0	0.0	1000
chr2L	11345000	11346000	chr2L	11449000	11450000	11345	11449	0.0602824653	0.3073934657	0.3593564393	1000
chr2L	11358750	11359000	chr2L	11445750	11446000	11358	11445	0.3999353766	0.0	0.0	1000
chr2L	11358750	11359000	chr2L	11447750	11448000	11358	11447	0.4444423119	0.0	0.0	1000
chr2L	11518000	11520000	chr2L	11948000	11950000	5759	5974	0.0061584459	0.9170502432	0.9452408887	2000
chr2L	11530000	11531000	chr2L	11711000	11712000	11530	11711	0.0747405673	0.3097605796	0.3617415106	1000
chr2L	11554000	11556000	chr2L	11910000	11912000	5777	5955	0.1557915886	0.0195421959	0.0257268765	2000
chr2L	1170250	1170500	chr2L	1177250	1177500	1170	1177	0.1650672145	0.0097042221	0.0139427552	1000
chr2L	11952000	11954000	chr2L	12178000	12180000	2988	3044	0.2694701343	2.9751e-06	6.9272e-06	4000
chr2L	12004000	12004250	chr2L	12010250	12010500	12004	12010	0.3895052779	4e-10	1.3e-09	1000
chr2L	1201000	1202000	chr2L	1344000	1345000	1201	1344	0.0358115197	0.5445898925	0.6025887161	1000
chr2L	12021000	12021250	chr2L	12049000	12049250	12021	12049	0.3172140092	2.76e-08	7.4e-08	1000
chr2L	12024000	12024250	chr2L	12034000	12034250	12024	12034	0.4571882971	0.0	0.0	1000
chr2L	12040500	12040750	chr2L	12056000	12056250	12040	12056	0.278657128	1.295e-06	2.9125e-06	1000
chr2L	12056750	12057000	chr2L	12062750	12063000	12056	12062	0.4087827712	5.7e-09	1.63e-08	1000
chr2L	12081000	12081250	chr2L	12089500	12089750	12081	12089	0.5561111594	0.0	0.0	1000
chr2L	12081250	12081500	chr2L	12092000	12092250	12081	12092	0.4479725564	0.0	0.0	1000
chr2L	12081500	12081750	chr2L	12087750	12088000	12081	12087	0.4103134003	2e-10	6e-10	1000
chr2L	12108000	12109000	chr2L	12173000	12174000	12108	12173	0.2719765327	2.3786e-06	5.1759e-06	1000
chr2L	12461250	12461500	chr2L	12482750	12483000	12461	12482	0.2852561802	6.986e-07	1.6121e-06	1000
chr2L	12473000	12473250	chr2L	12482250	12482500	12473	12482	0.255250844	2.75741e-05	5.29701e-05	1000
chr2L	12520750	12521000	chr2L	12529750	12530000	12520	12529	0.2109307942	0.0005823969	0.0009683278	1000
chr2L	12587000	12588000	chr2L	12677000	12678000	12587	12677	0.4153777357	0.0	0.0	1000
chr2L	12594000	12594250	chr2L	12602750	12603000	12594	12602	0.4783907173	0.0	0.0	1000
chr2L	12594000	12594250	chr2L	12660500	12660750	12594	12660	0.1820325885	0.0018510491	0.0028868018	1000
chr2L	12618250	12618500	chr2L	12678250	12678500	12618	12678	0.5157751719	0.0	0.0	1000
chr2L	12693000	12693250	chr2L	12704250	12704500	12693	12704	0.4861913724	0.0	0.0	1000
chr2L	12712500	12712750	chr2L	12722000	12722250	12712	12722	0.2489808239	3.47113e-05	6.59367e-05	1000
chr2L	12724000	12726000	chr2L	13002000	13004000	6362	6501	0.2151611779	0.0005208473	0.000833431	2000
chr2L	12773000	12774000	chr2L	12950000	12951000	12773	12950	-0.0851078639	0.1490782596	0.1841016677	1000
chr2L	12776000	12778000	chr2L	13138000	13140000	6388	6569	0.06672394	0.2887872476	0.3267311754	2000
chr2L	12822750	12823000	chr2L	12854500	12854750	12822	12854	0.5596923272	0.0	0.0	1000
chr2L	13004000	13004250	chr2L	13019000	13019250	13004	13019	0.4466496853	0.0	0.0	1000
chr2L	13021000	13022000	chr2L	13164000	13165000	6510	6582	0.2258303525	0.0001018573	0.00017819	2000
chr2L	13165500	13165750	chr2L	13176500	13176750	13165	13176	0.3863469522	0.0	1e-10	1000
chr2L	13179000	13179250	chr2L	13192000	13192250	13179	13192	0.364965008	2e-10	5e-10	1000
chr2L	13192000	13192250	chr2L	13203250	13203500	13192	13203	0.3527692255	1.3e-09	3.9e-09	1000
chr2L	13341250	13341500	chr2L	13363000	13363250	13341	13363	0.4239285711	0.0	0.0	1000
chr2L	13426000	13428000	chr2L	13756000	13758000	6713	6878	0.0810303276	0.1696410028	0.1983177703	2000
chr2L	13549000	13550000	chr2L	13640000	13641000	13549	13640	0.2055396525	0.0009329938	0.0015104326	1000
chr2L	13842000	13843000	chr2L	13911000	13912000	13842	13911	0.4541689866	0.0	0.0	1000
chr2L	14001000	14002000	chr2L	14180000	14181000	7000	7090	0.1095624223	0.0628379403	0.0776439765	2000
chr2L	14039000	14040000	chr2L	14093000	14094000	14039	14093	0.1283887125	0.0290137545	0.0393669152	1000
chr2L	1409250	1409500	chr2L	1420750	1421000	1409	1420	0.1903935695	0.0015087691	0.0023764456	1000
chr2L	14094000	14095000	chr2L	14160000	14161000	14094	14160	0.2817014985	9.762e-07	2.2225e-06	1000
chr2L	1411000	1412000	chr2L	1518000	1519000	705	759	0.216094741	0.0002047949	0.0003433417	2000
chr2L	1411250	1411500	chr2L	1422000	1422250	1411	1422	0.2039556111	0.0006609475	0.0010923651	1000
chr2L	14196000	14197000	chr2L	14251000	14252000	14196	14251	0.3756930943	0.0	1e-10	1000
