chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue
chr2L	28001	28500	chr2L	28001	28500	56	56	0.2739081682	0.0005762287	0.0007271606
chr2L	35001	35500	chr2L	35001	35500	70	70	-0.0427295338	0.6005243476	0.6154680276
chr2L	66501	67000	chr2L	66501	67000	133	133	0.0463854808	0.5696875153	0.5859283306
chr2L	94501	95000	chr2L	94501	95000	189	189	0.3708990969	0.0000018427	0.0000027372
chr2L	102001	102500	chr2L	102001	102500	204	204	0.4929705984	0.0000000000	0.0000000001
chr2L	116501	117000	chr2L	116501	117000	233	233	-0.0049301129	0.9518515580	0.9545178088
chr2L	142501	143000	chr2L	142501	143000	285	285	0.1093290258	0.1788270950	0.1908856193
chr2L	155501	156000	chr2L	155501	156000	311	311	0.5887837183	0.0000000000	0.0000000000
chr2L	159001	159500	chr2L	159001	159500	318	318	0.6728359086	0.0000000000	0.0000000000
chr2L	182501	183000	chr2L	182501	183000	365	365	0.5921371629	0.0000000000	0.0000000000
chr2L	203001	203500	chr2L	203001	203500	406	406	0.3464072621	0.0000096139	0.0000136287
chr2L	207501	208000	chr2L	207501	208000	415	415	0.3975256316	0.0000002569	0.0000004040
chr2L	224001	224500	chr2L	224001	224500	448	448	0.5779147576	0.0000000000	0.0000000000
chr2L	250501	251000	chr2L	250501	251000	501	501	0.6417387302	0.0000000000	0.0000000000
chr2L	271501	272000	chr2L	271501	272000	543	543	0.5528341948	0.0000000000	0.0000000000
chr2L	277501	278000	chr2L	277501	278000	555	555	0.7789284914	0.0000000000	0.0000000000
chr2L	282001	282500	chr2L	282001	282500	564	564	0.4113144041	0.0000000858	0.0000001398
chr2L	295001	295500	chr2L	295001	295500	590	590	0.6800034781	0.0000000000	0.0000000000
chr2L	296501	297000	chr2L	296501	297000	593	593	0.2733291312	0.0005927773	0.0007472334
chr2L	297001	297500	chr2L	297001	297500	594	594	0.3501928356	0.0000075189	0.0000107439
chr2L	339001	339500	chr2L	339001	339500	678	678	0.0166378028	0.8385180438	0.8467049199
chr2L	403501	404000	chr2L	403501	404000	807	807	0.3924645510	0.0000003791	0.0000005896
chr2L	414501	415000	chr2L	414501	415000	829	829	0.5066923161	0.0000000000	0.0000000000
chr2L	421001	421500	chr2L	421001	421500	842	842	0.4527035774	0.0000000023	0.0000000041
chr2L	431001	431500	chr2L	431001	431500	862	862	0.3777244908	0.0000011321	0.0000017040
chr2L	471001	471500	chr2L	471001	471500	942	942	0.2615485639	0.0010399162	0.0012909496
chr2L	472001	472500	chr2L	472001	472500	944	944	0.5496927913	0.0000000000	0.0000000000
chr2L	490501	491000	chr2L	490501	491000	981	981	0.6371360979	0.0000000000	0.0000000000
chr2L	518001	518500	chr2L	518001	518500	1036	1036	0.5097545761	0.0000000000	0.0000000000
chr2L	523501	524000	chr2L	523501	524000	1047	1047	0.2996601145	0.0001529369	0.0002002724
chr2L	540501	541000	chr2L	540501	541000	1081	1081	0.7107953418	0.0000000000	0.0000000000
chr2L	564001	564500	chr2L	564001	564500	1128	1128	0.6124576575	0.0000000000	0.0000000000
chr2L	568001	568500	chr2L	568001	568500	1136	1136	0.6379626855	0.0000000000	0.0000000000
chr2L	574501	575000	chr2L	574501	575000	1149	1149	0.4925217982	0.0000000000	0.0000000001
chr2L	587501	588000	chr2L	587501	588000	1175	1175	-0.0604880888	0.4582507779	0.4744603160
chr2L	602501	603000	chr2L	602501	603000	1205	1205	0.7827217974	0.0000000000	0.0000000000
chr2L	715501	716000	chr2L	715501	716000	1431	1431	0.1556166647	0.0546662552	0.0606476166
chr2L	740001	740500	chr2L	740001	740500	1480	1480	0.2918967077	0.0002313632	0.0003002689
chr2L	768001	768500	chr2L	768001	768500	1536	1536	0.2707707073	0.0008261116	0.0010329724
chr2L	800501	801000	chr2L	800501	801000	1601	1601	-0.0301228215	0.7120983878	0.7247115454
chr2L	821001	821500	chr2L	821001	821500	1642	1642	0.4797568031	0.0000000002	0.0000000003
chr2L	826001	826500	chr2L	826001	826500	1652	1652	0.7274838684	0.0000000000	0.0000000000
chr2L	833001	833500	chr2L	833001	833500	1666	1666	0.0092470677	0.9098274292	0.9155322931
chr2L	850501	851000	chr2L	850501	851000	1701	1701	0.6686733427	0.0000000000	0.0000000000
chr2L	855001	855500	chr2L	855001	855500	1710	1710	0.6300416257	0.0000000000	0.0000000000
chr2L	871001	871500	chr2L	871001	871500	1742	1742	0.6391218397	0.0000000000	0.0000000000
chr2L	901501	902000	chr2L	901501	902000	1803	1803	0.7495218518	0.0000000000	0.0000000000
chr2L	940001	940500	chr2L	940001	940500	1880	1880	0.2995807948	0.0001535947	0.0002010773
chr2L	1077501	1078000	chr2L	1077501	1078000	2155	2155	0.7690610747	0.0000000000	0.0000000000
chr2L	1108001	1108500	chr2L	1108001	1108500	2216	2216	0.5708771086	0.0000000000	0.0000000000
chr2L	1119001	1119500	chr2L	1119001	1119500	2238	2238	0.5347974962	0.0000000000	0.0000000000
chr2L	1129001	1129500	chr2L	1129001	1129500	2258	2258	0.6282949285	0.0000000000	0.0000000000
chr2L	1158001	1158500	chr2L	1158001	1158500	2316	2316	0.6442097199	0.0000000000	0.0000000000
chr2L	1178001	1178500	chr2L	1178001	1178500	2356	2356	0.3297937926	0.0000271745	0.0000373178
chr2L	1199501	1200000	chr2L	1199501	1200000	2399	2399	-0.0069204410	0.9324529107	0.9362752635
chr2L	1342501	1343000	chr2L	1342501	1343000	2685	2685	0.1872302954	0.0203156569	0.0231624369
chr2L	1348501	1349000	chr2L	1348501	1349000	2697	2697	0.1340352389	0.0986308715	0.1076519878
chr2L	1410501	1411000	chr2L	1410501	1411000	2821	2821	0.6008593109	0.0000000000	0.0000000000
