chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue
chr2L	28001	28500	chr2L	28001	28500	56	56	-0.2375346583	0.0030185867	0.0039241627
chr2L	35001	35500	chr2L	35001	35500	70	70	-0.1791102957	0.0265845730	0.0318549440
chr2L	66501	67000	chr2L	66501	67000	133	133	0.0621729035	0.4457957330	0.4704610751
chr2L	94501	95000	chr2L	94501	95000	189	189	0.2092946440	0.0092744252	0.0115595005
chr2L	102001	102500	chr2L	102001	102500	204	204	0.4830528913	0.0000000001	0.0000000003
chr2L	116501	117000	chr2L	116501	117000	233	233	0.0214067497	0.7931532780	0.8082626135
chr2L	142501	143000	chr2L	142501	143000	285	285	0.0599356762	0.4623760342	0.4858654466
chr2L	155501	156000	chr2L	155501	156000	311	311	0.5518370106	0.0000000000	0.0000000000
chr2L	159001	159500	chr2L	159001	159500	318	318	0.6224132321	0.0000000000	0.0000000000
chr2L	182501	183000	chr2L	182501	183000	365	365	0.5052026401	0.0000000000	0.0000000000
chr2L	203001	203500	chr2L	203001	203500	406	406	0.3820517863	0.0000008261	0.0000014674
chr2L	207501	208000	chr2L	207501	208000	415	415	0.2796608441	0.0004333976	0.0006071741
chr2L	224001	224500	chr2L	224001	224500	448	448	0.2220242292	0.0056873684	0.0072260476
chr2L	250501	251000	chr2L	250501	251000	501	501	0.5695829445	0.0000000000	0.0000000000
chr2L	271501	272000	chr2L	271501	272000	543	543	0.5164632560	0.0000000000	0.0000000000
chr2L	277501	278000	chr2L	277501	278000	555	555	0.6311055061	0.0000000000	0.0000000000
chr2L	282001	282500	chr2L	282001	282500	564	564	-0.1248573810	0.1242429027	0.1392645638
chr2L	295001	295500	chr2L	295001	295500	590	590	0.6017834189	0.0000000000	0.0000000000
chr2L	296501	297000	chr2L	296501	297000	593	593	0.2194903853	0.0062825423	0.0079540130
chr2L	297001	297500	chr2L	297001	297500	594	594	0.2822324842	0.0003807778	0.0005357134
chr2L	339001	339500	chr2L	339001	339500	678	678	-0.0126190198	0.8771689927	0.8868877889
chr2L	403501	404000	chr2L	403501	404000	807	807	0.2873185069	0.0002936387	0.0004176633
chr2L	414501	415000	chr2L	414501	415000	829	829	0.5185220283	0.0000000000	0.0000000000
chr2L	421001	421500	chr2L	421001	421500	842	842	0.5510769124	0.0000000000	0.0000000000
chr2L	431001	431500	chr2L	431001	431500	862	862	0.5188081295	0.0000000000	0.0000000000
chr2L	471001	471500	chr2L	471001	471500	942	942	0.2825591421	0.0003745333	0.0005275659
chr2L	472001	472500	chr2L	472001	472500	944	944	0.5275307914	0.0000000000	0.0000000000
chr2L	490501	491000	chr2L	490501	491000	981	981	0.6278870087	0.0000000000	0.0000000000
chr2L	518001	518500	chr2L	518001	518500	1036	1036	0.0837516757	0.3038779546	0.3266161664
chr2L	523501	524000	chr2L	523501	524000	1047	1047	0.2657523325	0.0008535137	0.0011683096
chr2L	540501	541000	chr2L	540501	541000	1081	1081	0.6194641389	0.0000000000	0.0000000000
