chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue
chr2L	28001	28500	chr2L	28001	28500	56	56	0.2621312570	0.0010120307	0.0011592397
chr2L	35001	35500	chr2L	35001	35500	70	70	0.2453065172	0.0021627959	0.0024313170
chr2L	66501	67000	chr2L	66501	67000	133	133	0.1234361071	0.1286300460	0.1334769753
chr2L	94501	95000	chr2L	94501	95000	189	189	0.1509671449	0.0624335357	0.0656200712
chr2L	102001	102500	chr2L	102001	102500	204	204	0.5606241726	0.0000000000	0.0000000000
chr2L	116501	117000	chr2L	116501	117000	233	233	0.4859084413	0.0000000001	0.0000000002
chr2L	142501	143000	chr2L	142501	143000	285	285	0.0831258895	0.3075223028	0.3145513840
chr2L	155501	156000	chr2L	155501	156000	311	311	0.6796288515	0.0000000000	0.0000000000
chr2L	159001	159500	chr2L	159001	159500	318	318	0.5424836552	0.0000000000	0.0000000000
chr2L	182501	183000	chr2L	182501	183000	365	365	0.6199354855	0.0000000000	0.0000000000
chr2L	203001	203500	chr2L	203001	203500	406	406	0.3498528232	0.0000076878	0.0000098564
chr2L	207501	208000	chr2L	207501	208000	415	415	0.3710454195	0.0000018238	0.0000024390
chr2L	224001	224500	chr2L	224001	224500	448	448	0.5246519362	0.0000000000	0.0000000000
chr2L	250501	251000	chr2L	250501	251000	501	501	0.5975818116	0.0000000000	0.0000000000
chr2L	271501	272000	chr2L	271501	272000	543	543	0.6161934791	0.0000000000	0.0000000000
chr2L	277501	278000	chr2L	277501	278000	555	555	0.6876908495	0.0000000000	0.0000000000
chr2L	282001	282500	chr2L	282001	282500	564	564	0.2842788075	0.0003431890	0.0004022164
chr2L	295001	295500	chr2L	295001	295500	590	590	0.6448412648	0.0000000000	0.0000000000
chr2L	296501	297000	chr2L	296501	297000	593	593	0.2494668396	0.0018012109	0.0020331883
chr2L	297001	297500	chr2L	297001	297500	594	594	0.3133944683	0.0000712984	0.0000867964
chr2L	339001	339500	chr2L	339001	339500	678	678	-0.0261970708	0.7482704795	0.7536141120
chr2L	403501	404000	chr2L	403501	404000	807	807	0.2251462898	0.0050233757	0.0055426246
chr2L	414501	415000	chr2L	414501	415000	829	829	0.5004936131	0.0000000000	0.0000000000
chr2L	421001	421500	chr2L	421001	421500	842	842	0.4784407423	0.0000000002	0.0000000003
chr2L	431001	431500	chr2L	431001	431500	862	862	0.3775300732	0.0000011481	0.0000015555
chr2L	471001	471500	chr2L	471001	471500	942	942	0.3839101248	0.0000007204	0.0000009919
chr2L	472001	472500	chr2L	472001	472500	944	944	0.4731607194	0.0000000003	0.0000000005
chr2L	490501	491000	chr2L	490501	491000	981	981	0.6745198003	0.0000000000	0.0000000000
chr2L	518001	518500	chr2L	518001	518500	1036	1036	0.5379905279	0.0000000000	0.0000000000
chr2L	523501	524000	chr2L	523501	524000	1047	1047	0.2423901071	0.0024541402	0.0027515222
chr2L	540501	541000	chr2L	540501	541000	1081	1081	0.6682554634	0.0000000000	0.0000000000
chr2L	564001	564500	chr2L	564001	564500	1128	1128	0.5931731802	0.0000000000	0.0000000000
chr2L	568001	568500	chr2L	568001	568500	1136	1136	0.4385626095	0.0000000083	0.0000000133
chr2L	574501	575000	chr2L	574501	575000	1149	1149	0.5175328483	0.0000000000	0.0000000000
chr2L	587501	588000	chr2L	587501	588000	1175	1175	0.5369320074	0.0000000000	0.0000000000
chr2L	602501	603000	chr2L	602501	603000	1205	1205	0.7806366047	0.0000000000	0.0000000000
