chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue	resolution
chr2L	10006000	10008000	chr2L	10200000	10202000	10006	10200	0.1634600334	0.0052808594	0.0079500284	1000
chr2L	10013000	10014000	chr2L	10194000	10195000	10013	10194	0.3151160218	3.45e-08	8.69e-08	1000
chr2L	10029000	10030000	chr2L	10166000	10167000	10029	10166	0.2801295818	4.49214e-05	8.43896e-05	1000
chr2L	10035000	10036000	chr2L	10146000	10147000	10035	10146	0.0080190034	0.9057493759	0.9301268533	1000
chr2L	10056500	10056750	chr2L	10180500	10180750	10056	10180	0.2391055122	3.73227e-05	7.05941e-05	1000
chr2L	10058000	10059000	chr2L	10200000	10201000	10058	10200	0.1772829348	0.0024443877	0.0038283297	1000
chr2L	10079000	10080000	chr2L	10197000	10198000	10079	10197	0.1716865594	0.0033621618	0.005177776	1000
chr2L	10221000	10221250	chr2L	10226750	10227000	10221	10226	0.1890583059	0.004534981	0.0068833422	1000
chr2L	10221000	10221250	chr2L	10232000	10232250	10221	10232	-0.0249473874	0.6812404163	0.7296934974	1000
chr2L	102250	102500	chr2L	114500	114750	102	114	0.5340444222	0.0	0.0	1000
chr2L	10227000	10227250	chr2L	10239000	10239250	10227	10239	0.2044356335	0.0005713164	0.0009520505	1000
chr2L	10232000	10232250	chr2L	10238750	10239000	10232	10238	0.4512230156	0.0	0.0	1000
chr2L	10238000	10239000	chr2L	10387000	10388000	5119	5193	0.0611307236	0.300619871	0.3404666195	2000
chr2L	10239750	10240000	chr2L	10246250	10246500	10239	10246	0.211796936	0.0008423091	0.0013746534	1000
chr2L	10264000	10265000	chr2L	10366000	10367000	10264	10366	0.1600044041	0.0063454862	0.0094882169	1000
chr2L	10313000	10314000	chr2L	10364000	10365000	10313	10364	0.3009991817	1.496e-07	3.583e-07	1000
chr2L	10368250	10368500	chr2L	10373750	10374000	10368	10373	0.6221569216	0.0	0.0	1000
chr2L	10380000	10380250	chr2L	10386000	10386250	10380	10386	0.493604041	0.0	0.0	1000
chr2L	10407750	10408000	chr2L	10423000	10423250	10407	10423	0.0092484842	0.8757094452	0.9068530661	1000
chr2L	10616750	10617000	chr2L	10654750	10655000	10616	10654	0.1759484102	0.0026397302	0.0041167885	1000
chr2L	1066250	1066500	chr2L	1077250	1077500	1066	1077	0.3332835349	1.17e-08	3.07e-08	1000
chr2L	1068250	1068500	chr2L	1076750	1077000	1068	1076	0.5738155715	0.0	0.0	1000
chr2L	10721000	10722000	chr2L	10964000	10965000	10721	10964	0.3908036129	0.0	0.0	1000
chr2L	10744000	10744250	chr2L	10767750	10768000	10744	10767	0.5820719237	0.0	0.0	1000
chr2L	10744250	10744500	chr2L	10770000	10770250	10744	10770	0.5585418712	0.0	0.0	1000
chr2L	10770000	10772000	chr2L	11024000	11026000	5385	5512	0.050375042	0.3938584271	0.436677705	2000
chr2L	10844000	10844250	chr2L	10849250	10849500	10844	10849	0.496275759	0.0	0.0	1000
chr2L	10870000	10871000	chr2L	10941000	10942000	10870	10941	0.206102967	0.0018806185	0.0029769734	1000
chr2L	10970250	10970500	chr2L	10976500	10976750	10970	10976	0.5394787508	0.0	0.0	1000
chr2L	11004500	11004750	chr2L	11010500	11010750	11004	11010	0.3391486419	8e-08	1.965e-07	1000
chr2L	11074000	11076000	chr2L	11454000	11456000	5537	5727	0.432119797	0.0	0.0	2000
chr2L	11100500	11100750	chr2L	11106500	11106750	11100	11106	-0.104700723	0.1102285861	0.139074037	1000
chr2L	11124000	11124250	chr2L	11130250	11130500	11124	11130	0.4114876442	0.0	1e-10	1000
chr2L	11206750	11207000	chr2L	11221500	11221750	11206	11221	0.2420397565	9.14363e-05	0.0001646449	1000
chr2L	11210250	11210500	chr2L	11221500	11221750	11210	11221	0.4362526289	0.0	0.0	1000
chr2L	11345000	11346000	chr2L	11449000	11450000	11345	11449	0.1458795042	0.0129633907	0.0186406652	1000
chr2L	11358750	11359000	chr2L	11445750	11446000	11358	11445	0.3923749125	0.0	0.0	1000
chr2L	11358750	11359000	chr2L	11447750	11448000	11358	11447	0.3832949121	0.0	0.0	1000
chr2L	11518000	11520000	chr2L	11948000	11950000	5759	5974	0.2705303307	2.7072e-06	5.7773e-06	2000
chr2L	11530000	11531000	chr2L	11711000	11712000	11530	11711	0.0282236583	0.7017597805	0.7480705174	1000
chr2L	11554000	11556000	chr2L	11910000	11912000	11554	11910	0.1305385722	0.0263999836	0.0365830706	1000
chr2L	1170250	1170500	chr2L	1177250	1177500	1170	1177	0.2461298195	9.57756e-05	0.0001718989	1000
chr2L	11952000	11954000	chr2L	12178000	12180000	5976	6089	0.0750023726	0.203802768	0.2362843884	2000
chr2L	12004000	12004250	chr2L	12010250	12010500	12004	12010	0.4565473731	0.0	0.0	1000
chr2L	1201000	1202000	chr2L	1344000	1345000	1201	1344	-0.0170537103	0.7730157893	0.8158227474	1000
chr2L	12021000	12021250	chr2L	12049000	12049250	12021	12049	0.4043523723	0.0	0.0	1000
chr2L	12024000	12024250	chr2L	12034000	12034250	12024	12034	0.4565587153	0.0	0.0	1000
chr2L	12040500	12040750	chr2L	12056000	12056250	12040	12056	0.3113912981	5.12e-08	1.273e-07	1000
chr2L	12056750	12057000	chr2L	12062750	12063000	12056	12062	0.4498678437	1e-10	3e-10	1000
chr2L	12081000	12081250	chr2L	12089500	12089750	12081	12089	0.5201696755	0.0	0.0	1000
chr2L	12081250	12081500	chr2L	12092000	12092250	12081	12092	0.3590293802	2.1e-09	6e-09	1000
chr2L	12081500	12081750	chr2L	12087750	12088000	12081	12087	0.471111197	0.0	0.0	1000
chr2L	12108000	12109000	chr2L	12173000	12174000	12108	12173	0.3853685446	0.0	0.0	1000
chr2L	12461250	12461500	chr2L	12482750	12483000	12461	12482	0.2563103575	9.2738e-06	1.83732e-05	1000
chr2L	12473000	12473250	chr2L	12482250	12482500	12473	12482	0.2253914854	0.0002299916	0.0003985681	1000
chr2L	12520750	12521000	chr2L	12529750	12530000	12520	12529	0.1829230221	0.0029622905	0.0045971591	1000
chr2L	12587000	12588000	chr2L	12677000	12678000	12587	12677	0.1920769196	0.0010048295	0.0016314656	1000
chr2L	12594000	12594250	chr2L	12602750	12603000	12594	12602	0.4819126842	0.0	0.0	1000
chr2L	12594000	12594250	chr2L	12660500	12660750	12594	12660	0.1990976249	0.0006434037	0.0010649607	1000
chr2L	12618250	12618500	chr2L	12678250	12678500	12618	12678	0.5517190489	0.0	0.0	1000
chr2L	12693000	12693250	chr2L	12704250	12704500	12693	12704	0.4534386067	0.0	0.0	1000
chr2L	12712500	12712750	chr2L	12722000	12722250	12712	12722	0.4373324341	0.0	0.0	1000
chr2L	12724000	12726000	chr2L	13002000	13004000	6362	6501	0.3058680547	5.275e-07	1.2147e-06	2000
chr2L	12773000	12774000	chr2L	12950000	12951000	12773	12950	0.0319821054	0.5884724294	0.6424713795	1000
chr2L	12776000	12778000	chr2L	13138000	13140000	12776	13138	0.0643678116	0.3231007264	0.3755367161	1000
chr2L	12822750	12823000	chr2L	12854500	12854750	12822	12854	0.467505899	0.0	0.0	1000
chr2L	13004000	13004250	chr2L	13019000	13019250	13004	13019	0.4984476499	0.0	0.0	1000
chr2L	13021000	13022000	chr2L	13164000	13165000	13021	13164	0.3967416568	0.0	0.0	1000
chr2L	13165500	13165750	chr2L	13176500	13176750	13165	13176	0.3768616507	1e-10	2e-10	1000
chr2L	13179000	13179250	chr2L	13192000	13192250	13179	13192	0.218719801	0.0001992403	0.0003474537	1000
chr2L	13192000	13192250	chr2L	13203250	13203500	13192	13203	0.3256121601	2.66e-08	6.76e-08	1000
chr2L	13341250	13341500	chr2L	13363000	13363250	13341	13363	0.3195079533	2.15e-08	5.53e-08	1000
chr2L	13426000	13428000	chr2L	13756000	13758000	13426	13756	0.1015218819	0.0849199871	0.1086288621	1000
chr2L	13549000	13550000	chr2L	13640000	13641000	13549	13640	0.13474656	0.0313875807	0.0430097314	1000
chr2L	13842000	13843000	chr2L	13911000	13912000	13842	13911	0.4215727939	0.0	0.0	1000
chr2L	14001000	14002000	chr2L	14180000	14181000	14001	14180	0.0268199775	0.6500622062	0.7027785356	1000
chr2L	14039000	14040000	chr2L	14093000	14094000	14039	14093	0.0529157428	0.3704006874	0.4242736653	1000
chr2L	1409250	1409500	chr2L	1420750	1421000	1409	1420	0.2367054586	7.12751e-05	0.0001306809	1000
chr2L	14094000	14095000	chr2L	14160000	14161000	14094	14160	0.3074875404	7.7e-08	1.894e-07	1000
chr2L	1411000	1412000	chr2L	1518000	1519000	1411	1518	0.3362859943	3.3e-09	9e-09	1000
chr2L	1411250	1411500	chr2L	1422000	1422250	1411	1422	0.2347300699	8.23156e-05	0.0001494376	1000
chr2L	14196000	14197000	chr2L	14251000	14252000	14196	14251	0.314515763	3.68e-08	9.23e-08	1000
chr2L	1420500	1420750	chr2L	1461500	1461750	1420	1461	0.4252428493	0.0	0.0	1000
chr2L	14262750	14263000	chr2L	14287750	14288000	14262	14287	0.6106468446	0.0	0.0	1000
chr2L	14293750	14294000	chr2L	14308500	14308750	14293	14308	0.4815836369	0.0	0.0	1000
chr2L	14294000	14294250	chr2L	14300750	14301000	14294	14300	0.1647083863	0.0115249938	0.0166371893	1000
chr2L	14300500	14300750	chr2L	14308500	14308750	14300	14308	0.114363101	0.0693419804	0.0902669427	1000
chr2L	14436000	14436250	chr2L	14486000	14486250	14436	14486	0.3238056005	1.34e-08	3.51e-08	1000
chr2L	14436000	14436250	chr2L	14489000	14489250	14436	14489	0.307840609	7.43e-08	1.83e-07	1000
chr2L	14444000	14444250	chr2L	14486000	14486250	14444	14486	0.6004513265	0.0	0.0	1000
chr2L	14444500	14444750	chr2L	14489250	14489500	14444	14489	0.562992196	0.0	0.0	1000
chr2L	14445750	14446000	chr2L	14486250	14486500	14445	14486	0.6010131961	0.0	0.0	1000
chr2L	14518000	14519000	chr2L	14599000	14600000	14518	14599	0.4021118894	0.0	0.0	1000
chr2L	14518500	14518750	chr2L	14530750	14531000	14518	14530	0.5871094586	0.0	0.0	1000
chr2L	14589000	14590000	chr2L	14706000	14707000	14589	14706	0.5530598671	0.0	0.0	1000
chr2L	14618000	14619000	chr2L	14819000	14820000	14618	14819	0.0716727945	0.2246794278	0.270372797	1000
chr2L	14623000	14624000	chr2L	14690000	14691000	14623	14690	0.3017647363	1.385e-07	3.324e-07	1000
chr2L	14710000	14712000	chr2L	14968000	14970000	14710	14968	0.1233613826	0.0360014771	0.0489080841	1000
chr2L	14746000	14748000	chr2L	14960000	14962000	14746	14960	-0.0060246475	0.9291185229	0.9514758404	1000
chr2L	15042250	15042500	chr2L	15057250	15057500	15042	15057	0.4356324678	0.0	0.0	1000
chr2L	15044250	15044500	chr2L	15056250	15056500	15044	15056	0.4505935975	0.0	0.0	1000
chr2L	15060000	15062000	chr2L	15498000	15500000	7530	7749	0.411500757	0.0	0.0	2000
